id,est_id,date,extra_credit,grade,score,final_score,type
2297077,84225,2013-10-07,N,A,98.0,98.0,1 - INSPECTION
2297211,58070,2013-10-07,N,,,,V - VISIT
2297213,58111,2013-10-08,N,A,99.0,99.0,1 - INSPECTION
2297623,56858,2013-10-09,N,,,,V - VISIT
2297784,56333,2013-10-08,N,A,98.0,98.0,1 - INSPECTION
2308321,57092,2013-10-21,N,A,97.0,97.0,1 - INSPECTION
2341091,57565,2013-10-22,N,A,98.0,98.0,1 - INSPECTION
2341093,55674,2013-10-21,N,A,98.0,98.0,1 - INSPECTION
2341095,63596,2013-10-21,N,A,99.0,99.0,1 - INSPECTION
2341736,63731,2013-10-24,N,A,96.0,96.0,1 - INSPECTION
2342242,81241,2013-10-28,N,A,94.0,94.0,1 - INSPECTION
2342773,58067,2013-10-25,N,A,98.0,98.0,1 - INSPECTION
2342898,56029,2013-10-28,N,A,97.0,97.0,1 - INSPECTION
2343208,57121,2013-10-31,N,A,96.0,96.0,1 - INSPECTION
2343335,106886,2013-10-31,N,A,98.0,98.0,1 - INSPECTION
2343337,85604,2013-10-30,N,A,98.0,98.0,1 - INSPECTION
2343340,80690,2013-10-29,N,,,,V - VISIT
2343373,56849,2013-10-31,N,A,94.0,94.0,1 - INSPECTION
2343469,85098,2013-10-29,N,,,,V - VISIT
2343526,58119,2013-09-27,N,A,99.0,99.0,1 - INSPECTION
2343929,70984,2013-11-04,N,A,96.0,96.0,1 - INSPECTION
2343934,87040,2013-11-04,N,A,99.0,99.0,1 - INSPECTION
2344082,151444,2013-11-04,N,,,,P - PERMIT
2344245,105853,2013-11-04,N,,,,S - STATUS CHANGE
2344325,151381,2013-11-05,N,,96.0,96.0,1 - INSPECTION
2344341,57145,2013-11-01,N,A,94.0,94.0,1 - INSPECTION
2344531,101023,2013-11-06,N,,,,V - VISIT
2344597,115880,2013-11-06,N,A,95.0,95.0,1 - INSPECTION
2345002,84835,2013-11-07,N,A,91.0,91.0,1 - INSPECTION
1334425,56051,2011-05-11,N,A,99.0,99.0,1 - INSPECTION
1334426,58112,2011-05-11,Y,A,97.0,99.0,1 - INSPECTION
